Account_id,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges
7599-FKVXZ,42,Month-to-month,Bank transfer (automatic),Yes,106.15,4512.7
8229-TNIQA,4,Month-to-month,Mailed check,Yes,45.3,196.95
6221-AVQYL,2,Month-to-month,Credit card (automatic),Yes,73.25,131.05
7743-EXURX,8,Month-to-month,Electronic check,Yes,51.05,415.05
5569-KGJHX,9,Month-to-month,Bank transfer (automatic),Yes,85.35,754.65
4988-IQIGL,1,Month-to-month,Electronic check,Yes,75.35,75.35
7730-IUTDZ,43,Month-to-month,Electronic check,Yes,75.2,3198.6
0426-TIRNE,1,Month-to-month,Mailed check,No,20.9,20.9
7587-RZNME,3,Month-to-month,Electronic check,Yes,43.3,123.65
0748-RDGGM,70,One year,Bank transfer (automatic),Yes,109.5,7534.65
4706-AXVKM,11,Month-to-month,Credit card (automatic),Yes,84.8,906.85
5889-JTMUL,50,Month-to-month,Electronic check,Yes,95.05,4888.7
9026-RNUJS,5,Month-to-month,Electronic check,No,50.35,237.25
3746-EUBYR,1,Month-to-month,Bank transfer (automatic),Yes,74.6,74.6
2332-EFBJY,16,Month-to-month,Mailed check,Yes,19.7,342.4
9474-PHLYD,15,Month-to-month,Electronic check,Yes,59.45,892.65
2165-VOEGB,46,One year,Bank transfer (automatic),Yes,105.2,4822.85
2219-MVUSO,8,Month-to-month,Mailed check,Yes,45.15,438.4
8914-RBTSB,31,Month-to-month,Electronic check,No,93.8,3019.5
0963-ZBDRN,32,Month-to-month,Electronic check,Yes,96.2,3183.4
7594-RQHXR,1,Month-to-month,Electronic check,Yes,79.6,79.6
6331-EWIEB,20,Month-to-month,Electronic check,Yes,85.25,1734.5
5998-VVEJY,26,Month-to-month,Electronic check,Yes,80.5,2088.8
1624-NALOJ,5,Month-to-month,Electronic check,Yes,89.8,502.6
4317-VTEOA,1,Month-to-month,Electronic check,Yes,50.75,50.75
1670-SVOWZ,14,Month-to-month,Credit card (automatic),Yes,89.65,1208.35
7541-YLXCL,36,One year,Mailed check,Yes,65.4,2498.4
0260-ZDLGK,9,Month-to-month,Mailed check,Yes,72.9,651.4
8722-NGNBH,5,Month-to-month,Mailed check,No,40.0,223.45
6210-KBBPI,9,Month-to-month,Credit card (automatic),Yes,99.45,919.4
0133-BMFZO,2,Month-to-month,Electronic check,Yes,86.25,181.65
6128-CZOMY,1,Month-to-month,Electronic check,Yes,45.65,45.65
9540-JYROE,8,Month-to-month,Mailed check,Yes,70.1,551.35
2260-USTRB,2,Month-to-month,Bank transfer (automatic),Yes,70.2,115.95
3656-TKRVZ,3,Month-to-month,Electronic check,No,55.35,165.2
8623-TMRBY,51,Month-to-month,Electronic check,Yes,84.2,4146.05
1501-SGHBW,2,Month-to-month,Mailed check,No,45.85,81
3208-YPIOE,39,Month-to-month,Electronic check,No,75.25,3017.65
2612-RANWT,12,Month-to-month,Bank transfer (automatic),Yes,100.15,1164.3
6900-PXRMS,26,Month-to-month,Electronic check,No,105.75,2710.25
3346-BRMIS,18,Month-to-month,Electronic check,Yes,48.35,810.7
2933-FILNV,2,Month-to-month,Mailed check,Yes,24.4,36.55
9986-BONCE,4,Month-to-month,Bank transfer (automatic),No,20.95,85.5
2722-JMONI,1,Month-to-month,Electronic check,Yes,49.55,49.55
4083-EUGRJ,9,Month-to-month,Mailed check,No,20.25,178.5
7579-OOPEC,2,Month-to-month,Credit card (automatic),No,50.15,115.1
1771-OADNZ,29,Month-to-month,Electronic check,Yes,95.9,2745.2
0612-RTZZA,1,Month-to-month,Electronic check,No,25.25,25.25
6410-LEFEN,9,Month-to-month,Electronic check,No,45.15,416.45
3194-ORPIK,50,Month-to-month,Bank transfer (automatic),Yes,84.4,4116.15
8816-VXNZD,1,Month-to-month,Electronic check,Yes,75.1,75.1
9378-FXTIZ,54,One year,Credit card (automatic),Yes,70.15,3715.65
1723-HKXJQ,42,Month-to-month,Electronic check,Yes,101.75,4273.45
7825-GKXMW,1,Month-to-month,Electronic check,No,45.8,45.8
1240-KNSEZ,1,Month-to-month,Mailed check,Yes,20.1,20.1
0836-SEYLU,9,Month-to-month,Mailed check,No,40.65,328.95
4433-JCGCG,46,Month-to-month,Electronic check,Yes,101.0,4680.05
3716-BDVDB,1,Month-to-month,Electronic check,Yes,69.1,69.1
5899-MQZZL,13,Month-to-month,Mailed check,Yes,75.0,999.45
6849-OYAMU,19,One year,Bank transfer (automatic),No,100.0,1888.65
9488-HGMJH,1,Month-to-month,Electronic check,Yes,71.15,71.15
6038-GCYEC,24,Month-to-month,Credit card (automatic),Yes,54.15,1240.25
1150-WFARN,67,Two year,Credit card (automatic),Yes,108.75,7156.2
3144-AUDBS,6,Month-to-month,Electronic check,Yes,49.15,270.8
5616-PRTNT,20,Month-to-month,Electronic check,Yes,19.4,374.5
4818-QIUFN,20,Month-to-month,Electronic check,Yes,79.15,1520.9
6961-VCPMC,46,Month-to-month,Electronic check,Yes,80.4,3605.2
6688-UZPWD,11,Month-to-month,Electronic check,Yes,102.0,1145.35
2839-RFSQE,2,Month-to-month,Mailed check,No,20.65,38.7
0968-GSIKN,1,Month-to-month,Mailed check,Yes,70.8,70.8
1965-DDBWU,16,Month-to-month,Credit card (automatic),Yes,89.05,1448.6
9057-SIHCH,3,Month-to-month,Electronic check,Yes,96.6,291.9
6771-XWBDM,57,Month-to-month,Credit card (automatic),Yes,104.5,5921.35
8601-QACRS,5,Month-to-month,Mailed check,Yes,50.6,249.95
2391-SOORI,4,Month-to-month,Electronic check,No,49.35,219.65
2645-QTLMB,7,Month-to-month,Electronic check,Yes,94.25,669
4806-HIPDW,1,Month-to-month,Electronic check,Yes,68.95,68.95
4424-TKOPW,2,Month-to-month,Electronic check,Yes,93.85,196.75
8443-ZRDBZ,4,Month-to-month,Electronic check,Yes,76.05,318.9
9136-ALYBR,1,Month-to-month,Mailed check,Yes,24.45,24.45
7479-NITWS,7,Month-to-month,Credit card (automatic),Yes,89.35,631.85
2959-MJHIC,4,Month-to-month,Electronic check,Yes,80.35,307.4
4201-JMNGR,1,Month-to-month,Electronic check,Yes,55.8,55.8
5960-WPXQM,1,Month-to-month,Electronic check,Yes,79.05,79.05
0684-AOSIH,1,Month-to-month,Electronic check,Yes,95.0,95
8260-NGFNY,1,Month-to-month,Mailed check,No,25.2,25.2
1866-RZZQS,41,Month-to-month,Electronic check,Yes,98.4,4187.75
8631-NBHFZ,66,Two year,Credit card (automatic),No,79.4,5154.6
4958-XCBDQ,35,Month-to-month,Electronic check,Yes,101.4,3496.3
8337-UPOAQ,10,Month-to-month,Electronic check,Yes,89.8,914.3
1725-IQNIY,54,Two year,Bank transfer (automatic),No,109.75,6110.2
6598-RFFVI,2,One year,Credit card (automatic),No,19.3,28.3
6712-OAWRH,26,Month-to-month,Electronic check,Yes,91.25,2351.8
8614-VGMMV,15,Month-to-month,Electronic check,Yes,49.1,679.55
2930-UOTMB,31,Month-to-month,Credit card (automatic),No,65.25,1994.3
5914-DVBWJ,18,Month-to-month,Electronic check,Yes,85.45,1505.85
2533-QVMSK,61,Two year,Electronic check,Yes,94.1,5638.3
8644-XLFBW,1,Month-to-month,Electronic check,Yes,71.65,71.65
8625-AZYZY,24,Month-to-month,Electronic check,Yes,104.65,2542.45
9306-CPCBC,3,Month-to-month,Electronic check,Yes,74.25,210.3
1833-VGRUM,1,Month-to-month,Electronic check,Yes,74.2,74.2
8374-XGEJJ,43,Month-to-month,Electronic check,Yes,101.0,4388.4
2656-TABEH,4,Month-to-month,Electronic check,Yes,100.2,420.2
6946-LMSQS,25,One year,Electronic check,Yes,89.05,2177.45
2325-ZUSFD,57,One year,Bank transfer (automatic),Yes,70.1,3913.3
3932-CMDTD,4,One year,Electronic check,Yes,105.65,443.9
4039-HEUNW,36,Month-to-month,Electronic check,Yes,96.5,3436.1
0812-WUPTB,1,Month-to-month,Mailed check,No,70.85,70.85
3594-UVONA,35,One year,Credit card (automatic),Yes,85.95,3110.1
0004-TLHLJ,4,Month-to-month,Electronic check,Yes,73.9,280.85
5089-IFSDP,58,Two year,Bank transfer (automatic),Yes,109.45,6144.55
4817-VYYWS,30,Month-to-month,Electronic check,Yes,100.2,2983.8
1396-QWFBJ,21,Month-to-month,Bank transfer (automatic),Yes,74.05,1565.7
5299-SJCZT,3,Month-to-month,Bank transfer (automatic),Yes,101.55,298.35
2403-BCASL,41,One year,Electronic check,Yes,111.95,4534.9
2898-LSJGD,21,One year,Electronic check,Yes,55.95,1157.05
7359-PTSXY,1,Month-to-month,Electronic check,No,45.75,45.75
4503-BDXBD,11,Month-to-month,Electronic check,No,74.95,815.5
6086-ESGRL,1,Month-to-month,Credit card (automatic),No,80.15,80.15
3886-CERTZ,72,One year,Electronic check,Yes,109.25,8109.8
5759-RCVCB,3,Month-to-month,Credit card (automatic),No,35.2,108.95
6372-RFVNS,1,Month-to-month,Electronic check,No,78.8,78.8
8938-UMKPI,47,Month-to-month,Electronic check,Yes,106.4,5127.95
0991-BRRFB,18,Month-to-month,Electronic check,No,49.4,874.8
3871-IKPYH,1,Month-to-month,Electronic check,No,69.1,69.1
6319-IEJWJ,20,Month-to-month,Electronic check,Yes,90.2,1776.55
9025-AOMKI,6,Month-to-month,Bank transfer (automatic),Yes,93.55,536.4
5275-SQEIZ,1,Month-to-month,Mailed check,Yes,80.85,80.85
7716-YTYHG,48,One year,Mailed check,Yes,82.05,4029.95
4390-KYULV,3,Month-to-month,Credit card (automatic),Yes,20.55,51.15
1304-NECVQ,2,Month-to-month,Electronic check,Yes,78.55,149.55
8945-GRKHX,1,Month-to-month,Electronic check,No,78.65,78.65
6959-UWKHF,1,Month-to-month,Electronic check,Yes,42.9,42.9
3815-SLMEF,3,Month-to-month,Mailed check,No,34.25,139.35
5154-VEKBL,9,Month-to-month,Mailed check,No,58.5,539.85
5655-JSMZM,49,Month-to-month,Electronic check,Yes,96.2,4718.25
4505-EXZHB,6,Month-to-month,Electronic check,No,74.4,434.1
4587-VVTOX,6,Month-to-month,Electronic check,Yes,105.3,545.2
4652-NNHNY,16,Month-to-month,Bank transfer (automatic),Yes,73.85,1284.2
8972-HJWNV,7,Month-to-month,Electronic check,Yes,84.55,646.85
8515-OCTJS,25,Two year,Credit card (automatic),No,24.75,692.1
2860-RANUS,20,Month-to-month,Credit card (automatic),Yes,85.8,1727.5
5261-QSHQM,4,Month-to-month,Electronic check,Yes,24.45,86.6
8868-WOZGU,28,Month-to-month,Electronic check,Yes,105.7,2979.5
1334-FJSVR,1,Month-to-month,Electronic check,Yes,24.25,24.25
7625-XCQRH,11,Month-to-month,Electronic check,Yes,76.5,837.95
1731-TVIUK,4,Month-to-month,Electronic check,Yes,93.5,362.2
0406-BPDVR,54,One year,Credit card (automatic),Yes,101.5,5373.1
0618-XWMSS,28,Month-to-month,Bank transfer (automatic),Yes,74.9,2068.55
5276-KQWHG,2,Month-to-month,Electronic check,Yes,69.6,131.65
2565-JSLRY,1,Month-to-month,Mailed check,Yes,24.05,24.05
6689-KXGBO,1,Month-to-month,Electronic check,No,50.55,50.55
6615-NGGZJ,14,Month-to-month,Electronic check,Yes,100.55,1415.55
4255-DDUOU,1,Month-to-month,Mailed check,Yes,20.5,20.5
2984-MIIZL,4,Month-to-month,Bank transfer (automatic),Yes,74.8,321.9
5590-YRFJT,20,Month-to-month,Electronic check,Yes,24.45,482.8
3677-TNKIO,14,Month-to-month,Credit card (automatic),Yes,71.0,914
9667-EQRXU,30,Month-to-month,Electronic check,Yes,40.3,1172.95
3329-WDIOK,3,Month-to-month,Electronic check,Yes,50.6,155.35
2873-ZLIWT,40,Month-to-month,Electronic check,Yes,84.85,3303.05
3415-TAILE,2,Month-to-month,Mailed check,No,65.7,134.35
1915-IOFGU,1,Month-to-month,Electronic check,No,70.5,70.5
3045-XETSH,10,Month-to-month,Electronic check,Yes,94.85,953.45
7239-HZZCX,1,Month-to-month,Mailed check,No,19.75,19.75
7683-CBDKJ,14,Month-to-month,Electronic check,Yes,65.45,937.6
0946-CLJTI,58,Month-to-month,Electronic check,Yes,98.7,5812.6
0628-CNQRM,22,One year,Bank transfer (automatic),Yes,67.5,1544.05
7665-TOALD,1,Month-to-month,Electronic check,Yes,69.6,69.6
0112-QWPNC,49,One year,Electronic check,No,84.35,4059.35
0324-BRPCJ,68,Month-to-month,Electronic check,Yes,100.2,6851.65
2777-PHDEI,1,Month-to-month,Electronic check,No,78.05,78.05
1196-AMORA,7,Month-to-month,Electronic check,No,73.6,520
4282-YMKNA,9,Month-to-month,Electronic check,Yes,74.75,706.6
5356-RHIPP,1,Month-to-month,Mailed check,Yes,20.2,20.2
9189-JWSHV,24,Month-to-month,Electronic check,Yes,93.55,2264.05
0746-JTRFU,2,Month-to-month,Electronic check,Yes,25.05,56.35
0576-WNXXC,27,Month-to-month,Electronic check,Yes,95.55,2510.2
4628-CTTLA,57,Month-to-month,Electronic check,Yes,39.3,2111.45
2876-VBBBL,1,Month-to-month,Mailed check,Yes,20.25,20.25
6834-NXDCA,13,Month-to-month,Electronic check,Yes,23.9,300.8
5597-GLBUC,1,Month-to-month,Electronic check,Yes,85.45,85.45
2748-MYRVK,63,One year,Bank transfer (automatic),No,99.9,6137
4822-YCXMX,25,Month-to-month,Electronic check,Yes,84.8,2043.45
9821-POOTN,35,Month-to-month,Electronic check,Yes,75.2,2576.2
6559-ILWKJ,71,Two year,Electronic check,No,49.35,3515.25
4229-CZMLL,6,Month-to-month,Electronic check,Yes,74.9,469.8
3663-MITLP,15,Month-to-month,Electronic check,Yes,101.25,1457.25
9025-ZRPVR,9,Month-to-month,Mailed check,Yes,18.95,185.6
3285-UCQVC,37,Month-to-month,Credit card (automatic),No,28.6,973.55
5482-PLVPE,2,Month-to-month,Electronic check,No,24.35,41.85
4902-OHLSK,29,Month-to-month,Electronic check,No,98.65,2862.75
0495-ZBNGW,5,Month-to-month,Bank transfer (automatic),Yes,79.9,343.95
2357-COQEK,28,Month-to-month,Electronic check,Yes,103.3,2890.65
3737-GCSPV,11,Month-to-month,Credit card (automatic),Yes,96.2,1222.05
4088-YLDSU,55,One year,Electronic check,Yes,104.15,5743.05
2034-CGRHZ,24,Month-to-month,Credit card (automatic),Yes,102.95,2496.7
5797-APWZC,1,Month-to-month,Electronic check,No,90.6,90.6
3683-QKIUE,6,Month-to-month,Bank transfer (automatic),Yes,50.8,288.05
4228-ZGYUW,4,Month-to-month,Electronic check,Yes,90.05,368.1
3519-ZKXGG,3,Month-to-month,Electronic check,Yes,75.85,256.6
6416-TVAIH,1,Month-to-month,Electronic check,Yes,68.5,68.5
5108-ADXWO,11,Month-to-month,Electronic check,Yes,73.5,791.75
3066-RRJIO,1,Month-to-month,Mailed check,Yes,69.95,69.95
6715-OFDBP,5,Month-to-month,Electronic check,Yes,70.05,346.4
1567-DSCIC,8,Month-to-month,Electronic check,Yes,94.0,773.65
2150-UWTFY,22,Month-to-month,Mailed check,No,61.15,1422.05
2683-BPJSO,29,Month-to-month,Electronic check,Yes,84.45,2467.1
2157-MXBJS,13,One year,Mailed check,Yes,75.3,989.45
9360-AHGNL,43,One year,Mailed check,Yes,109.55,4830.25
1087-UDSIH,3,Month-to-month,Mailed check,Yes,19.6,59.75
5485-WUYWF,2,Month-to-month,Bank transfer (automatic),No,66.4,94.55
2632-UCGVD,66,Month-to-month,Credit card (automatic),Yes,100.05,6871.9
5445-PZWGX,62,One year,Electronic check,No,102.0,6529.25
9170-CCKOU,17,Month-to-month,Credit card (automatic),No,90.2,1454.15
1043-YCUTE,56,Two year,Credit card (automatic),Yes,25.15,1327.15
3814-MLAXC,31,Month-to-month,Credit card (automatic),Yes,79.85,2404.15
1226-UDFZR,2,Month-to-month,Mailed check,Yes,49.6,114.7
6425-YQLLO,66,One year,Credit card (automatic),Yes,105.95,6975.25
5442-UTCVD,3,Month-to-month,Electronic check,No,91.85,257.05
7734-DBOAI,1,Month-to-month,Electronic check,No,40.1,40.1
2091-RFFBA,31,Month-to-month,Electronic check,Yes,73.9,2217.15
2114-MGINA,14,Month-to-month,Mailed check,Yes,89.8,1129.1
4489-SNOJF,35,Month-to-month,Electronic check,No,72.25,2568.55
6899-PPEEA,37,Month-to-month,Electronic check,Yes,96.55,3580.3
2187-LZGPL,7,Month-to-month,Credit card (automatic),Yes,40.1,293.3
4597-NUCQV,24,Month-to-month,Electronic check,Yes,101.25,2440.15
9019-QVLZD,1,Month-to-month,Electronic check,No,79.55,79.55
3707-LRWZD,32,One year,Electronic check,No,84.05,2781.85
1455-ESIQH,1,Month-to-month,Electronic check,Yes,89.1,89.1
2979-SXESE,17,Month-to-month,Electronic check,No,94.4,1607.2
4013-TLDHQ,19,Month-to-month,Electronic check,Yes,78.25,1490.95
3754-DXMRT,2,Month-to-month,Electronic check,Yes,44.15,92.65
7130-VTEWQ,8,Month-to-month,Electronic check,Yes,75.75,606.25
6121-VZNQB,1,Month-to-month,Mailed check,Yes,19.1,19.1
7903-CMPEY,1,Month-to-month,Electronic check,Yes,80.3,80.3
6996-KNSML,1,Month-to-month,Electronic check,Yes,74.9,74.9
1704-NRWYE,9,Month-to-month,Electronic check,Yes,80.85,751.65
2592-SEIFQ,3,Month-to-month,Electronic check,No,24.75,66.95
7481-ATQQS,49,Month-to-month,Credit card (automatic),Yes,90.85,4515.85
8642-GVWRF,2,Month-to-month,Bank transfer (automatic),No,79.7,165
3400-ESFUW,55,Two year,Bank transfer (automatic),No,57.55,3046.4
2057-ZBLPD,21,Month-to-month,Electronic check,Yes,86.5,1808.7
5502-RLUYV,69,Month-to-month,Electronic check,Yes,103.95,7446.9
0023-HGHWL,1,Month-to-month,Electronic check,Yes,25.1,25.1
9039-RBEEE,39,Month-to-month,Credit card (automatic),Yes,48.95,1880.85
8417-FMLZI,6,Month-to-month,Credit card (automatic),Yes,83.55,477.55
1792-UXAFY,17,Month-to-month,Electronic check,Yes,89.15,1496.9
0515-YPMCW,1,Month-to-month,Mailed check,Yes,70.45,70.45
0378-XSZPU,58,One year,Credit card (automatic),No,60.3,3563.8
4729-XKASR,1,Month-to-month,Electronic check,No,24.75,24.75
5449-FIBXJ,19,Month-to-month,Electronic check,No,103.3,2012.7
9837-BMCLM,3,Month-to-month,Electronic check,Yes,78.5,242.05
0137-UDEUO,3,Month-to-month,Mailed check,No,19.85,63.75
6161-UUUTA,3,Month-to-month,Electronic check,Yes,79.9,260.9
6543-XRMYR,30,Month-to-month,Electronic check,Yes,99.7,2967.35
4925-LMHOK,15,Month-to-month,Credit card (automatic),Yes,58.6,939.7
1455-UGQVH,10,Month-to-month,Electronic check,Yes,98.5,1037.75
8280-MQRQN,1,Month-to-month,Mailed check,Yes,50.45,50.45
2037-SGXHH,38,Month-to-month,Electronic check,Yes,94.65,3624.3
3178-FESZO,1,Month-to-month,Credit card (automatic),Yes,100.25,100.25
6087-MVHJH,16,Month-to-month,Electronic check,Yes,88.45,1422.1
4603-JANFB,1,Month-to-month,Electronic check,Yes,69.85,69.85
3018-TFTSU,12,Month-to-month,Bank transfer (automatic),No,81.7,858.6
4806-KEXQR,4,Month-to-month,Electronic check,Yes,79.9,324.3
7083-YNSKY,15,Month-to-month,Credit card (automatic),Yes,25.4,399.6
2479-BRAMR,41,Month-to-month,Bank transfer (automatic),Yes,83.75,3273.55
7434-SHXLS,1,Month-to-month,Mailed check,No,20.9,20.9
7908-QCBCA,1,Month-to-month,Mailed check,Yes,69.4,69.4
6711-FLDFB,7,Month-to-month,Electronic check,Yes,74.9,541.15
3714-JTVOV,42,Month-to-month,Credit card (automatic),Yes,74.15,3229.4
4702-IOQDC,1,Month-to-month,Electronic check,Yes,70.1,70.1
6178-KFNHS,12,Month-to-month,Electronic check,Yes,78.3,909.25
1264-BYWMS,55,Month-to-month,Electronic check,Yes,96.8,5283.95
9658-WYUFB,17,Month-to-month,Electronic check,Yes,94.4,1617.5
2013-SGDXK,1,Month-to-month,Electronic check,No,84.3,84.3
8580-QVLOC,72,Two year,Credit card (automatic),No,92.45,6440.25
2012-NWRPA,11,Month-to-month,Electronic check,Yes,99.55,1131.2
8808-ELEHO,8,Month-to-month,Electronic check,Yes,81.25,585.95
3506-LCJDC,1,Month-to-month,Bank transfer (automatic),No,19.95,19.95
3934-HXCFZ,23,Month-to-month,Electronic check,Yes,99.25,2186.4
7666-WKRON,39,Two year,Electronic check,Yes,80.45,3201.55
4910-AQFFX,9,Month-to-month,Bank transfer (automatic),Yes,79.35,661.25
2154-KVJFF,15,Month-to-month,Electronic check,Yes,79.75,1111.85
9647-ERGBE,30,Month-to-month,Electronic check,Yes,100.05,3046.15
3428-XZMAZ,1,Month-to-month,Electronic check,Yes,69.35,69.35
0378-TOVMS,3,Month-to-month,Electronic check,No,85.8,272.2
4355-HBJHH,67,Two year,Electronic check,Yes,79.7,5293.4
9058-CBREO,1,Month-to-month,Mailed check,No,50.55,50.55
0318-QUUOB,1,Month-to-month,Electronic check,Yes,80.55,80.55
5520-FVEWJ,12,Month-to-month,Electronic check,Yes,84.5,916.9
5572-ZDXHY,22,Month-to-month,Mailed check,Yes,84.3,1855.65
3750-CKVKH,2,Month-to-month,Electronic check,Yes,67.75,116.65
8063-GBATB,27,Month-to-month,Electronic check,Yes,85.25,2287.25
4547-KQRTM,10,Month-to-month,Bank transfer (automatic),Yes,80.05,830.7
4877-EVATK,1,Month-to-month,Mailed check,No,20.0,20
7639-SUPCW,22,Month-to-month,Credit card (automatic),Yes,48.8,1054.6
1069-XAIEM,1,Month-to-month,Electronic check,Yes,85.05,85.05
4658-HCOHW,21,Month-to-month,Electronic check,Yes,102.8,2110.15
3440-JPSCL,6,Month-to-month,Mailed check,Yes,99.95,547.65
2889-FPWRM,72,One year,Bank transfer (automatic),Yes,117.8,8684.8
6987-XQSJT,54,Month-to-month,Electronic check,Yes,79.5,4370.25
4290-BSXUX,3,Month-to-month,Bank transfer (automatic),Yes,79.65,251.75
0325-XBFAC,8,Month-to-month,Electronic check,Yes,94.7,740.3
2462-XIIJB,5,Month-to-month,Electronic check,Yes,92.5,452.7
4760-XOHVN,1,Month-to-month,Mailed check,No,19.45,19.45
7817-BOQPW,2,Month-to-month,Electronic check,Yes,75.55,166.3
1853-UDXBW,1,Month-to-month,Electronic check,Yes,70.0,70
5458-CQJTA,65,Two year,Bank transfer (automatic),Yes,74.8,4820.15
5219-YIPTK,33,Month-to-month,Electronic check,Yes,104.4,3409.6
3540-RZJYU,15,Month-to-month,Electronic check,No,86.2,1270.2
2091-MJTFX,30,Month-to-month,Credit card (automatic),No,51.2,1561.5
0883-EIBTI,2,Month-to-month,Mailed check,No,19.5,31.55
0722-TROQR,4,Month-to-month,Electronic check,Yes,74.9,321.75
7571-YXDAD,2,Month-to-month,Credit card (automatic),No,74.9,147.15
3393-FMZPV,25,Month-to-month,Electronic check,Yes,100.25,2387.75
6402-ZFPPI,25,Month-to-month,Mailed check,Yes,102.8,2660.2
7486-KSRVI,43,One year,Electronic check,Yes,100.0,4211.55
8443-WVPSS,10,Month-to-month,Electronic check,Yes,99.85,990.9
3006-XIMLN,2,Month-to-month,Bank transfer (automatic),Yes,94.2,193.8
9965-YOKZB,9,Month-to-month,Electronic check,Yes,83.85,790.15
0504-HHAPI,27,Month-to-month,Credit card (automatic),No,88.3,2467.75
6305-YLBMM,69,One year,Bank transfer (automatic),Yes,104.05,7262
3647-GMGDH,22,Month-to-month,Credit card (automatic),Yes,94.7,1914.9
3791-LGQCY,56,Month-to-month,Bank transfer (automatic),Yes,100.65,5688.05
8166-ZZTFS,66,Two year,Bank transfer (automatic),Yes,80.55,5265.1
2956-GGUCQ,24,Month-to-month,Electronic check,Yes,78.85,1772.25
6595-COKXZ,1,Month-to-month,Mailed check,Yes,44.45,44.45
0362-ZBZWJ,36,Month-to-month,Electronic check,Yes,84.9,3067.2
4211-MMAZN,1,Month-to-month,Mailed check,No,20.25,20.25
4274-OWWYO,1,Month-to-month,Electronic check,Yes,74.35,74.35
1541-ETJZO,1,Month-to-month,Mailed check,No,62.05,62.05
4106-HADHQ,39,One year,Credit card (automatic),No,80.0,3182.95
2369-UAPKZ,5,Month-to-month,Mailed check,No,104.1,541.9
2778-OCLGR,24,Month-to-month,Bank transfer (automatic),No,39.1,971.3
0637-KVDLV,2,Month-to-month,Electronic check,Yes,76.5,162.45
6633-MPWBS,5,Month-to-month,Electronic check,Yes,49.2,216.9
8785-EPNCG,11,Month-to-month,Credit card (automatic),No,23.15,245.2
5729-KLZAR,4,Month-to-month,Electronic check,No,80.85,302.75
1582-RAFML,1,Month-to-month,Mailed check,No,60.1,60.1
8740-CRYFY,1,Month-to-month,Electronic check,Yes,78.95,78.95
2962-XPMCQ,2,Month-to-month,Electronic check,Yes,45.15,98.5
1678-FYZOW,3,Month-to-month,Electronic check,Yes,79.4,244.65
8627-EHGIP,44,One year,Mailed check,Yes,53.95,2375.4
5480-TBGPH,24,Month-to-month,Credit card (automatic),Yes,99.3,2431.35
8854-CCVSQ,18,Month-to-month,Electronic check,Yes,80.65,1451.9
0511-JTEOY,1,Month-to-month,Mailed check,No,71.1,71.1
7067-KSAZT,65,One year,Electronic check,Yes,106.25,6979.8
6532-YLWSI,53,One year,Bank transfer (automatic),No,20.8,1021.8
9300-AGZNL,1,Month-to-month,Electronic check,Yes,94.0,94
1112-CUNAO,15,Month-to-month,Electronic check,No,89.85,1424.95
5175-AOBHI,4,Month-to-month,Mailed check,Yes,46.0,193.6
5174-RNGBH,9,Month-to-month,Mailed check,No,66.25,620.55
7270-BDIOA,22,Month-to-month,Electronic check,Yes,90.0,1993.8
9565-JSNFM,38,One year,Bank transfer (automatic),Yes,70.45,2597.6
0607-DAAHE,53,Two year,Bank transfer (automatic),No,19.75,1052.35
9732-KPKBW,1,Month-to-month,Electronic check,Yes,53.95,53.95
3389-YGYAI,8,Month-to-month,Electronic check,Yes,105.5,829.55
9560-ARGQJ,16,Month-to-month,Electronic check,Yes,81.0,1312.15
5134-IKDAY,1,Month-to-month,Electronic check,Yes,69.8,69.8
3070-DVEYC,7,Month-to-month,Mailed check,No,73.75,545.15
5707-ORNDZ,9,Month-to-month,Electronic check,No,54.55,494.05
8696-JKZNU,37,Month-to-month,Electronic check,Yes,76.25,2841.55
5380-AFSSK,5,Month-to-month,Mailed check,Yes,93.9,486.85
2055-PDADH,3,Month-to-month,Electronic check,Yes,70.4,204.7
8714-EUHJO,31,Month-to-month,Electronic check,Yes,91.15,2995.45
3721-CNEYS,2,Month-to-month,Electronic check,Yes,70.95,137.95
2568-OIADY,37,Month-to-month,Electronic check,Yes,99.5,3762
1193-RTSLK,38,Month-to-month,Credit card (automatic),Yes,83.9,3233.6
2302-ANTDP,48,Month-to-month,Electronic check,No,117.45,5438.9
5923-GXUOC,10,Month-to-month,Electronic check,Yes,104.4,1081.45
5233-GEEAX,8,Month-to-month,Electronic check,Yes,29.4,221.9
4432-ADRLB,2,Month-to-month,Mailed check,No,44.65,74.9
8993-PHFWD,3,Month-to-month,Electronic check,No,25.25,58.9
1565-RHDJD,4,Month-to-month,Bank transfer (automatic),No,84.05,333.55
7137-RYLPP,37,Month-to-month,Electronic check,Yes,85.7,3171.15
3765-JXVKY,1,Month-to-month,Electronic check,Yes,74.7,74.7
7330-WZLNC,5,Month-to-month,Electronic check,Yes,90.8,455.5
3957-LXOLK,28,Month-to-month,Electronic check,Yes,106.15,3152.5
6635-MYYYZ,30,One year,Bank transfer (automatic),No,85.35,2530.4
5281-BUZGT,36,Month-to-month,Electronic check,Yes,90.85,3186.7
5378-IKEEG,1,Month-to-month,Electronic check,Yes,35.75,35.75
2718-GAXQD,4,Month-to-month,Electronic check,No,46.0,181.6
6413-XKKPU,17,Month-to-month,Electronic check,Yes,89.4,1539.45
